sample,Hash,nReads
SK_Al_1_Aug_A_r5,56b71b130db76c4f3e846ab901e2f434f2670ed0,25
SK_Al_1_Aug_A_r5,fe811f29ee8a6665c760ab0d98f557832770dfdd,4
SK_Al_1_Aug_A_r5,7f28317ef6ae66d91e66359ed0e385b7bbb74f63,15
SK_Al_1_Aug_A_r5,927faea215f7c17d87f1875ee71aacf5e19f4930,15
SK_Al_1_Aug_A_r5,a22ad049a2f9214953d65c3b3ac3a21a0ecf4d1c,4
SK_Al_1_Aug_A_r5,b2783045a19a2ec094c190e20967113a353342a2,4
SK_Al_1_Aug_B_r5,894db39f7f4dd05d5ab0cbdf6683aa400ac920d0,9
SK_Al_1_Aug_B_r5,3716ec47a8a97109791958586e9248bd6dbf10d2,4642
SK_Al_1_Aug_B_r5,a31d4e16bf8a39f654272a1186dba2dda26ab921,8489
SK_Al_1_Aug_B_r5,52a3ead0281795007b0fea2cfcf0e92bb722c71b,12869
SK_Al_1_Aug_B_r5,bccac54ad7babc9191848eab06023ee35501cc72,1801
SK_Al_1_Aug_B_r5,9c09a763d6c811768737dd27009813b61564de01,2535
SK_Al_1_Aug_B_r5,c86edf42afe1847e481b41dc9d0c5e33829cb6c6,1576
SK_Al_1_Aug_B_r5,b8fa6b69798c0a1b93eefe0efd297cca3a7ece98,3436
SK_Al_1_Aug_B_r5,58f62c44424a119a1d0f5b707d97c27eb50427a0,155
SK_Al_1_Aug_B_r5,bbe004c5c5f00ff585ea2d5a11ca72f26a68ea80,1254
SK_Al_1_Aug_B_r5,329090d077f862ed845b9dd5a7de2905464cd903,1142
SK_Al_1_Aug_B_r5,fe741eacccd370d7a3b2a4a7b71e706d023d05ec,51
SK_Al_1_Aug_B_r5,3a4dfe6996710d54cb04f506e62ba675b8b61064,8207
SK_Al_1_Aug_B_r5,0150e8c7e6355f74f34f1f35f80ca6274d30a7c0,1436
SK_Al_1_Aug_B_r5,9ba84255da188b331a6f528376f6ea80a426b346,131
SK_Al_1_Aug_B_r5,ee8e68641ac8ab35b03b53f4e2e094931d309cbf,1132
SK_Al_1_Aug_B_r5,ecbcc3bd709776326a720729ad74c020c160aa3a,11
SK_Al_1_Aug_B_r5,b303f87de05e0458b9be7cc94c55bd09c590a9a0,100
SK_Al_1_Aug_B_r5,391bf1f7d6996c6d2bc922afabff2cbc59086037,293
SK_Al_1_Aug_B_r5,f9393c337900a568c4b0551f2d1fb05f006a0387,80
SK_Al_1_Aug_B_r5,be0d8d82b061b00696fbd9b95ef857ecd69eba89,24
SK_Al_1_Aug_B_r5,913bd86c3638ee2b616020e99a80420b229b822a,2745
SK_Al_1_Aug_B_r5,5634224205f603de1cb46395062bcfc20b2f3169,2161
SK_Al_1_Aug_B_r5,4178d3e55cb5a4bb27bef0c8b478b3bb7b9dabba,172
SK_Al_1_Aug_B_r5,b985bd256d8d431d64480963abbd05efc83a1ded,211
SK_Al_1_Aug_B_r5,40854a33df3c8477f132f3b34d9ffb8e4d586f2e,70
SK_Al_1_Aug_B_r5,9e88c52cd7cbdcb78a3121de21a896cc6bd1b1f8,232
SK_Al_1_Aug_B_r5,8b71cde6938ae8ee2f729b7f5b6470b193f9dd70,1352
SK_Al_1_Aug_B_r5,f480326f0c6c82489d3b525d63ed3f6d1313807f,191
SK_Al_1_Aug_B_r5,d95b4f8a662738776cf7116d5cf249247173dc89,245
SK_Al_1_Aug_B_r5,ec0f0287f1d923a5d7a5af82a10b2e1a01333357,228
SK_Al_1_Aug_B_r5,3bbc6272a953cba6747a92517b1e0a35ea128858,115
SK_Al_1_Aug_B_r5,904dfdc0a8b9c9ba6ab1b9649d82c2e9610b3140,897
SK_Al_1_Aug_B_r5,01c96043671a288c7c4aaa42a5b8ba868c375eee,254
SK_Al_1_Aug_B_r5,893272f1ae99e2825202beebebc0abe6be01a186,554
